"","County","SubCounty","AdminArea","Farming","Maize","Sorghum","Rice","Potatoes","Beans","Cassava","SweetPotatoes","Wheat","GreenGrams","Bananas","Cabbages","Tomatoes","Onions","GroundNuts","Millet","Watermelons","Kales","Sugarcane","Cotton"
"244","LAIKIPIA","LAIKIPIA CENTRAL","SubCounty",18787,14816,2719,NA,13179,13626,505,2966,411,506,1332,2518,1711,4090,NA,477,257,5196,1516,NA
"245","LAIKIPIA","LAIKIPIA EAST","SubCounty",13192,8911,208,NA,7815,7554,305,1369,342,421,1144,1017,794,1395,NA,92,79,2797,978,NA
"246","LAIKIPIA","LAIKIPIA NORTH","SubCounty",5898,406,20,NA,168,399,21,37,13,15,27,35,57,65,NA,11,13,111,18,NA
"247","LAIKIPIA","LAIKIPIA WEST","SubCounty",24338,20245,1458,NA,5245,14932,746,1921,930,270,1121,1357,1649,1665,NA,378,219,2610,647,NA
"248","LAIKIPIA","NYAHURURU","SubCounty",28514,26156,901,NA,12136,17456,1094,2429,2240,569,3468,2946,2204,3118,NA,558,172,7039,1547,NA
"249","NAKURU","NAKURU","County",283652,243535,9613,NA,140998,168112,6953,16130,6021,7919,32257,41413,14871,65022,NA,13563,NA,114162,11097,NA
"250","NAKURU","GILGIL","SubCounty",27273,23695,982,NA,15359,21481,1034,2431,329,815,3010,3034,1920,6023,NA,842,NA,9169,1790,NA
"251","NAKURU","KURESOI NORTH","SubCounty",33190,30713,455,NA,23145,10963,80,349,1679,1224,1441,7513,1006,10380,NA,1608,NA,16861,269,NA
"252","NAKURU","KURESOI SOUTH","SubCounty",28030,25349,383,NA,13872,7165,82,338,869,820,2556,7452,709,8082,NA,2006,NA,15071,511,NA
"253","NAKURU","MOLO","SubCounty",26641,23531,556,NA,17167,13884,231,514,230,985,1826,5370,789,7030,NA,995,NA,11244,429,NA
"254","NAKURU","NAIVASHA","SubCounty",33061,23332,321,NA,17061,20884,353,1555,283,745,1548,4381,1850,9444,NA,213,NA,12924,978,NA
"255","NAKURU","NAKURU EAST","SubCounty",8876,5637,157,NA,2520,4448,167,411,171,210,653,739,690,1023,NA,102,NA,2640,277,NA
